State,Medical_School,Public,Schoolyear,Men,Women,All
FL,FIU-Wertheim,1,2019-2020,237,261,498
FL,Florida,1,2019-2020,303,299,602
FL,Florida Atlantic-Schmidt,1,2019-2020,130,136,266
FL,Florida State,1,2019-2020,212,280,493
FL,Miami-Miller,0,2019-2020,391,480,872
FL,Nova Southeastern-Patel,0,2019-2020,62,42,104
FL,UCF,1,2019-2020,262,237,499
FL,USF-Morsani,1,2019-2020,385,347,732
GA,Emory,0,2019-2020,290,354,644
GA,MC Georgia Augusta,1,2019-2020,471,479,951
GA,Mercer,0,2019-2020,258,230,488
GA,Morehouse,0,2019-2020,184,229,413
HI,Hawaii-Burns,1,2019-2020,155,138,293
IA,Iowa-Carver,1,2019-2020,354,321,675
IL,Carle Illinois,1,2019-2020,37,27,64
IL,Chicago Med Franklin,0,2019-2020,408,383,791
IL,Chicago-Pritzker,0,2019-2020,206,211,417
IL,Illinois,1,2019-2020,711,662,1373
IL,Loyola-Stritch,0,2019-2020,288,402,690
IL,Northwestern-Feinberg,0,2019-2020,392,345,737
IL,Rush,0,2019-2020,298,270,568
IL,Southern Illinois,1,2019-2020,152,142,294
IN,Indiana,1,2019-2020,816,688,1504
KS,Kansas,1,2019-2020,459,417,876
KY,Kentucky,1,2019-2020,350,319,669
KY,Louisville,1,2019-2020,367,299,666
LA,LSU New Orleans,1,2019-2020,436,394,830
LA,LSU Shreveport,1,2019-2020,260,289,549
LA,Tulane,0,2019-2020,416,386,802
MA,Boston,0,2019-2020,375,389,764
MA,Harvard,0,2019-2020,416,427,843
MA,Massachusetts,1,2019-2020,308,398,706
MA,Tufts,0,2019-2020,426,451,877
MD,Johns Hopkins,0,2019-2020,292,294,586
MD,Maryland,1,2019-2020,270,400,670
MD,Uniformed Services-Hebert,1,2019-2020,378,320,698
MI,Central Michigan,1,2019-2020,194,214,408
MI,Michigan,1,2019-2020,344,452,796
MI,Michigan State,1,2019-2020,352,470,822
MI,Oakland Beaumont,1,2019-2020,235,251,487
MI,Wayne State,1,2019-2020,641,596,1237
MI,Western Michigan-Stryker,0,2019-2020,168,157,325
MN,Mayo-Alix,0,2019-2020,200,204,404
MN,Minnesota,1,2019-2020,469,547,1016
MO,Missouri Columbia,1,2019-2020,237,236,473
MO,Missouri Kansas City,1,2019-2020,195,272,467
MO,Saint Louis,0,2019-2020,400,335,735
MO,Washington U St Louis,0,2019-2020,321,284,605
MS,Mississippi,1,2019-2020,332,311,643
NC,Duke,0,2019-2020,237,329,567
NC,East Carolina-Brody,1,2019-2020,165,178,343
NC,North Carolina,1,2019-2020,402,463,865
NC,Wake Forest,0,2019-2020,277,293,570
ND,North Dakota,1,2019-2020,162,149,311
NE,Creighton,0,2019-2020,335,312,647
NE,Nebraska,1,2019-2020,296,248,544
NH,Dartmouth-Geisel,0,2019-2020,177,236,413
NJ,Cooper Rowan,1,2019-2020,184,225,410
NJ,Rutgers New Jersey,1,2019-2020,414,369,783
NJ,Rutgers-RW Johnson,1,2019-2020,346,393,739
NJ,SHU-Hackensack Meridian,0,2019-2020,80,71,151
NM,New Mexico,1,2019-2020,199,256,455
NV,Nevada Las Vegas,1,2019-2020,90,90,180
NV,Nevada Reno,1,2019-2020,148,136,284
NY,Albany,0,2019-2020,277,309,586
NY,Buffalo-Jacobs,1,2019-2020,364,366,730
NY,CUNY,1,2019-2020,104,188,292
NY,Columbia-Vagelos,0,2019-2020,352,323,675
NY,Cornell-Weill,0,2019-2020,280,255,535
NY,Einstein,0,2019-2020,424,415,839
NY,Mount Sinai-Icahn,0,2019-2020,347,325,672
NY,NYU Long Island,0,2019-2020,9,15,24
NY,New York Medical,0,2019-2020,384,500,884
NY,New York University,0,2019-2020,254,260,514
NY,Renaissance Stony Brook,1,2019-2020,307,287,595
NY,Rochester,0,2019-2020,238,230,468
NY,SUNY Downstate,1,2019-2020,438,414,852
NY,SUNY Upstate,1,2019-2020,358,340,698
NY,Zucker Hofstra Northwell,0,2019-2020,228,197,425
OH,Case Western Reserve,0,2019-2020,497,509,1007
OH,Cincinnati,1,2019-2020,370,379,749
OH,Northeast Ohio,1,2019-2020,279,325,605
OH,Ohio State,1,2019-2020,413,465,878
OH,Toledo,1,2019-2020,364,360,725
OH,Wright State-Boonshoft,1,2019-2020,203,282,485
OK,Oklahoma,1,2019-2020,367,303,671
OR,Oregon,1,2019-2020,284,398,684
PA,Drexel,0,2019-2020,525,551,1077
PA,Geisinger Commonwealth,0,2019-2020,226,229,455
PA,Jefferson-Kimmel,0,2019-2020,588,568,1157
PA,Penn State,0,2019-2020,316,347,663
PA,Pennsylvania-Perelman,0,2019-2020,390,388,778
PA,Pittsburgh,0,2019-2020,317,367,685
PA,Temple-Katz,0,2019-2020,405,439,845
PR,Caribe,0,2019-2020,170,169,339
PR,Ponce,0,2019-2020,201,202,403
PR,Puerto Rico,1,2019-2020,243,225,468
PR,San Juan Bautista,0,2019-2020,121,163,284
RI,Brown-Alpert,0,2019-2020,293,324,618
SC,MU South Carolina,1,2019-2020,409,335,744
SC,South Carolina,1,2019-2020,220,179,400
SC,South Carolina Greenville,1,2019-2020,181,243,424
SD,South Dakota-Sanford,1,2019-2020,166,116,282
TN,East Tennessee-Quillen,1,2019-2020,142,151,293
TN,Meharry,0,2019-2020,228,256,484
TN,Tennessee,1,2019-2020,407,286,693
TN,Vanderbilt,0,2019-2020,228,217,445
TX,Baylor,0,2019-2020,403,444,847
TX,TCU UNTHSC,0,2019-2020,24,36,60
TX,Texas A & M,1,2019-2020,341,300,641
TX,Texas Tech,1,2019-2020,362,383,745
TX,Texas Tech-Foster,1,2019-2020,219,193,412
TX,UT Austin-Dell,1,2019-2020,86,112,198
TX,UT Houston-McGovern,1,2019-2020,470,548,1018
TX,UT Medical Branch,1,2019-2020,506,468,974
TX,UT Rio Grande Valley,1,2019-2020,106,103,209
TX,UT San Antonio-Long,1,2019-2020,488,403,891
TX,UT Southwestern,1,2019-2020,509,472,981
UT,Utah,1,2019-2020,299,227,528
VA,Eastern Virginia,1,2019-2020,338,268,606
VA,Virginia,1,2019-2020,354,319,673
VA,Virginia Commonwealth,1,2019-2020,424,424,848
VA,Virginia Tech Carilion,0,2019-2020,87,87,174
VT,Vermont-Larner,1,2019-2020,216,272,490
WA,U Washington,1,2019-2020,523,662,1185
WA,Washington State-Floyd,1,2019-2020,87,113,200
WI,MC Wisconsin,0,2019-2020,514,508,1022
WI,Wisconsin,1,2019-2020,381,366,747
WV,Marshall-Edwards,1,2019-2020,189,147,336
WV,West Virginia,1,2019-2020,235,227,462
